MCH.Merchant Name,FIN.Transaction Amount,FIN.Transaction Date
FASTENAL CO-RETAIL,106.22,12/15/2009
WOLVERINE SUPPLY CO.,5,12/15/2009
PIZZA HOUSE,70.63,12/15/2009
DAKTRONICS INC.,1731.18,12/15/2009
HOLLINGER METAL EDGE I,101.74,12/15/2009
JACKSON CITIZEN PATRIO,108,12/15/2009
CURRENT MOTOR ELECTRIC,47,12/15/2009
LARRY'S MOWER SHOP INC,362.62,12/14/2009
SUNOCO SVC STATION Q21,17.01,12/14/2009
KROGER #605,17.64,12/14/2009
KROGER #605,17.63,12/14/2009
MEIJER INC #027 Q01,11.77,12/14/2009
GFS MKTPLC #0868,56.35,12/14/2009
LOWES #00734*,11.43,12/14/2009
LOWES #00734*,22,12/14/2009
MADISON ELEC A ARBR,201.83,12/14/2009
PIEDMONT PLASTICS GP 2,628.22,12/14/2009
LOWES #00734*,213.27,12/14/2009
BEHLER YOUNG CO. THE,179.8,12/14/2009
PARK UNIV ENTERPRISES,299,12/14/2009
IKEA CANTON,348.97,12/14/2009
LOWES #00734*,67.44,12/14/2009
BISK EDUCATION INC,31.8,12/14/2009
VILLANOVA UNIVERSITY,1782,12/14/2009
STADIUM HARDWARE,41.35,12/13/2009
BRIDGEWATER TIRE CO. I,155.23,12/12/2009
FERGUSON ENT#933,443.06,12/12/2009
COURT SERVICES,150,12/11/2009
MOE'S SOUTHWEST GRILL,650,12/11/2009
HAMPTON INN & SUITES Y,333.54,12/11/2009
VG KIDS,100,12/11/2009
AMERAPRODUCTS,2249.35,12/11/2009
WW GRAINGER,352.35,12/11/2009
BUSCH'S #1035,45.99,12/11/2009
BUILDERS PLUMBING SUPP,593.21,12/11/2009
BUILDERS PLUMBING SUPP,-593.21,12/11/2009
STADIUM HARDWARE,60.73,12/11/2009
COTTAGE INN PIZZA WASH,85.44,12/11/2009
WASHTENAW CTY RGSTR DE,23,12/10/2009
LEONARDO'S RESTAURANT,33.09,12/10/2009
GFS MKTPLC #0868,62.68,12/10/2009
LOWES #00734*,128.71,12/10/2009
THE HOME DEPOT 2721,73.66,12/10/2009
CHILI'S GRILL 00000703,25.38,12/10/2009
CURRENT MOTOR ELECTRIC,486,12/10/2009
STADIUM HARDWARE,73.94,12/10/2009
STADIUM HARDWARE,22,12/10/2009
BITSTREAM INC.MYF,54,12/10/2009
FIRE PROTECTION PUBL-O,1207.32,12/10/2009
CORRIGAN OIL CO NO 2,580.73,12/10/2009
CORRIGAN OIL CO NO 2,311.24,12/10/2009
BUSCH'S #1035,55.99,12/10/2009
BUSCH'S #1035,467.46,12/10/2009
OFFICE MAX,46.52,12/10/2009
AFTERNOON DELIGHT,149,12/10/2009
LOWES #00734*,-15.97,12/9/2009
LOWES #00734*,81.49,12/9/2009
PUBLIC AGENCY TRAINING,575,12/9/2009
PALACE STATION HTL/CAS,391.64,12/9/2009
LOWES #01750*,49.24,12/9/2009
SPARTAN DISTRIBUTORS,530.04,12/9/2009
MADISON ELEC A ARBR,175.91,12/9/2009
BATTERIES PLUS #389,36.96,12/9/2009
BATTERIES PLUS #389,36.96,12/9/2009
BATTERIES PLUS #389,36.96,12/9/2009
STADIUM HARDWARE,4.99,12/9/2009
NEW RESOURCES GROUP I,633.66,12/9/2009
